latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
36.98998,117.61596,301.54,1.34,1.15,2022-02-26,0238,T,48,6.1NRT,288.6,4.52,D
36.98633,115.13071,303.75,1.87,1.34,2022-02-26,0238,T,57,6.1NRT,288.7,9.82,D
33.76874,130.89966,335.78,3.03,1.66,2022-02-26,0238,T,87,6.1NRT,284.17,191.98,D
33.76073,130.93446,312.12,3.05,1.66,2022-02-26,0238,T,47,6.1NRT,283.77,59.78,D
33.7543,130.89523,310.11,3.03,1.66,2022-02-26,0238,T,27,6.1NRT,283.4,55.91,D
34.72941,125.47263,315.29,1.33,1.14,2022-02-26,0238,T,63,6.1NRT,279.57,24.6,D
36.14098,114.57018,303.35,1.98,1.37,2022-02-26,0238,T,56,6.1NRT,289.32,11.63,D
32.75451,130.9528,337.88,3.25,1.7,2022-02-26,0238,T,88,6.1NRT,285.04,227.08,D
32.74678,130.98549,320.87,3.26,1.71,2022-02-26,0238,T,58,6.1NRT,282.1,108.8,D
32.76492,130.98407,319.67,3.26,1.71,2022-02-26,0238,T,71,6.1NRT,282.38,111.66,D
32.75719,130.94844,325.68,3.25,1.7,2022-02-26,0238,T,78,6.1NRT,284.52,138.16,D
32.7497,130.98105,326.61,3.26,1.71,2022-02-26,0238,T,80,6.1NRT,282.84,145.25,D
34.02813,117.75008,303.31,1.22,1.1,2022-02-26,0240,T,56,6.1NRT,288.09,6.6,D
33.17081,120.68745,301.1,1,1,2022-02-26,0240,T,42,6.1NRT,289.37,4.14,D
33.16314,120.74035,301.22,1,1,2022-02-26,0240,T,0,6.1NRT,288.74,4.05,D
33.42505,113.06738,301.96,2.29,1.47,2022-02-26,0240,T,50,6.1NRT,289.82,9.44,D
31.95441,121.11351,304.44,1.01,1,2022-02-26,0240,T,59,6.1NRT,289.71,4.37,D
32.26591,118.78439,302.31,1.07,1.03,2022-02-26,0240,T,46,6.1NRT,289.32,3.64,D
31.98203,120.61736,307.32,1,1,2022-02-26,0240,T,42,6.1NRT,292.35,5.59,D
32.06246,119.46967,306.4,1.02,1.01,2022-02-26,0240,T,63,6.1NRT,289.13,6.79,D
31.45401,121.42448,308.72,1.02,1.01,2022-02-26,0240,T,0,6.1NRT,292.38,6.19,D
31.2519,118.18605,300.16,1.1,1.04,2022-02-26,0240,T,21,6.1NRT,288.45,3.33,D
30.90268,119.98515,300.17,1,1,2022-02-26,0240,T,23,6.1NRT,286.74,3.15,D
31.13332,118.17159,305.9,1.09,1.04,2022-02-26,0240,T,62,6.1NRT,289.6,7.29,D
31.48399,113.8151,301.95,1.93,1.36,2022-02-26,0240,T,43,6.1NRT,288.69,8.75,D
30.65921,120.57846,301.75,1,1,2022-02-26,0240,T,46,6.1NRT,289.11,3.48,D
31.29089,114.54945,303.82,1.72,1.29,2022-02-26,0240,T,57,6.1NRT,288.18,11.37,D
30.854,117.75261,300.22,1.13,1.06,2022-02-26,0240,T,25,6.1NRT,288.8,4.16,D
30.84547,117.78097,303.72,1.12,1.06,2022-02-26,0240,T,57,6.1NRT,289.31,6.01,D
31.01672,116.22124,302.18,1.35,1.15,2022-02-26,0240,T,51,6.1NRT,289.78,6.59,D
31.01512,116.235,300.21,1.34,1.15,2022-02-26,0240,T,30,6.1NRT,288.73,5.2,D
